Commodity,Detailed_Comm_code,Detailed_Comm_Name,Abstract_Comm_code,Abstract_Comm_Name
 Iron & Steel,1,Steel & Metal,1,Steel & Metal
(IRON) LOAD ,1,Steel & Metal,1,Steel & Metal
ALCABINIA IRON,1,Steel & Metal,1,Steel & Metal
ALLUMINIUM,1,Steel & Metal,1,Steel & Metal
ALMONIUM,1,Steel & Metal,1,Steel & Metal
ALMUNIAM,1,Steel & Metal,1,Steel & Metal
ALUMINI,1,Steel & Metal,1,Steel & Metal
ALUMINIUMWIRE,1,Steel & Metal,1,Steel & Metal
ALUMINIYAM,1,Steel & Metal,1,Steel & Metal
ALUMINUIM,1,Steel & Metal,1,Steel & Metal
ALUMINUM,1,Steel & Metal,1,Steel & Metal
ANGALE,1,Steel & Metal,1,Steel & Metal
ANGLE,1,Steel & Metal,1,Steel & Metal
BLACK COIL,1,Steel & Metal,1,Steel & Metal
BLACK COIL ,1,Steel & Metal,1,Steel & Metal
BLADE,1,Steel & Metal,1,Steel & Metal
BOLT ITEMS,1,Steel & Metal,1,Steel & Metal
BOLTS ,1,Steel & Metal,1,Steel & Metal
BRASS,1,Steel & Metal,1,Steel & Metal
BUNDLE,1,Steel & Metal,1,Steel & Metal
CHAKKI,1,Steel & Metal,1,Steel & Metal
CHAKKI PATTA,1,Steel & Metal,1,Steel & Metal
CHENAL,1,Steel & Metal,1,Steel & Metal
COAL PLATE,1,Steel & Metal,1,Steel & Metal
COIL,1,Steel & Metal,1,Steel & Metal
COPER,1,Steel & Metal,1,Steel & Metal
COPPER,1,Steel & Metal,1,Steel & Metal
COPPER ITEM,1,Steel & Metal,1,Steel & Metal
ELECTRIC POLLS,1,Steel & Metal,1,Steel & Metal
ENGAL,1,Steel & Metal,1,Steel & Metal
ENGALE,1,Steel & Metal,1,Steel & Metal
ESPAT,1,Steel & Metal,1,Steel & Metal
FOLD PIPE LOHA,1,Steel & Metal,1,Steel & Metal
GARATER,1,Steel & Metal,1,Steel & Metal
GATAR LOHA,1,Steel & Metal,1,Steel & Metal
GATTE,1,Steel & Metal,1,Steel & Metal
GOLD,1,Steel & Metal,1,Steel & Metal
GRIL,1,Steel & Metal,1,Steel & Metal
HEAVY METAL,1,Steel & Metal,1,Steel & Metal
HEAVY METAL BARS,1,Steel & Metal,1,Steel & Metal
HMT METAL,1,Steel & Metal,1,Steel & Metal
IEON PIPE,1,Steel & Metal,1,Steel & Metal
IEONROD,1,Steel & Metal,1,Steel & Metal
ION SCRAP,1,Steel & Metal,1,Steel & Metal
IORN,1,Steel & Metal,1,Steel & Metal
IORN ,1,Steel & Metal,1,Steel & Metal
IORN GATAR,1,Steel & Metal,1,Steel & Metal
IORN PIPE,1,Steel & Metal,1,Steel & Metal
IORN ROD,1,Steel & Metal,1,Steel & Metal
IRIN ROD,1,Steel & Metal,1,Steel & Metal
IRIN WIRE,1,Steel & Metal,1,Steel & Metal
IRO,1,Steel & Metal,1,Steel & Metal
IRO PETI,1,Steel & Metal,1,Steel & Metal
IROM,1,Steel & Metal,1,Steel & Metal
IRON,1,Steel & Metal,1,Steel & Metal
IRON ,1,Steel & Metal,1,Steel & Metal
IRON  ,1,Steel & Metal,1,Steel & Metal
IRON  SHEET,1,Steel & Metal,1,Steel & Metal
IRON 2,1,Steel & Metal,1,Steel & Metal
IRON BARS,1,Steel & Metal,1,Steel & Metal
IRON BEDS,1,Steel & Metal,1,Steel & Metal
Iron Beem,1,Steel & Metal,1,Steel & Metal
IRON BELT,1,Steel & Metal,1,Steel & Metal
iron benchs,1,Steel & Metal,1,Steel & Metal
IRON BLADE,1,Steel & Metal,1,Steel & Metal
IRON BLED,1,Steel & Metal,1,Steel & Metal
IRON BOAL,1,Steel & Metal,1,Steel & Metal
IRON BOALT,1,Steel & Metal,1,Steel & Metal
IRON BOLAT,1,Steel & Metal,1,Steel & Metal
IRON BOX,1,Steel & Metal,1,Steel & Metal
IRON BUNDELS,1,Steel & Metal,1,Steel & Metal
