Detailed_Comm_code,Detailed_Comm_Name,Commodity  Group,Abstract_Comm_code,Abstract_Comm_Name,,,,,,,
1,Steel & Metal,Steel & Metal,1,Steel & Metal,,,,,,,
2,Cement,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",,,,,,,  
3,Stone,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",,,,,,,
4,Sand / Soil,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",,,,,,,
5,"Construction Materials (Bricks, Blocks, etc.)","Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)",,,,,,,
6,Oil,"Petroleum Products, Oil, Gas",3,"Petroleum Products, Oil, Gas",,,,,,,
7,Gas,"Petroleum Products, Oil, Gas",3,"Petroleum Products, Oil, Gas",,,,,,,
8,"Petrol, Diesel","Petroleum Products, Oil, Gas",3,"Petroleum Products, Oil, Gas",,,,,,,
9,"Milk, Fruits, Vegetables, Flowers, Fish, and Eggs (Perishable Items)","Milk, Fruits, Vegetables, Flowers, Fish, and Eggs (Perishable Items)",4,"Milk, Fruits, Vegetables, Flowers, Fish, and Eggs (Perishable Items)",,,,,,,
10,Grocery Items,Grocery Items,5,Grocery Items,,,,,,,
11,"Food Grains, Pulses (Wheat, Rice. etc.)",Agricultural Products,6,Agricultural Products,,,,,,,
12,"Agricultural Products (Cotton, Sugarcane, etc.)",Agricultural Products,6,Agricultural Products,,,,,,,
13,"Finished Industrial Goods (Plastics, etc.)",Finished Goods/Household Items,7,Finished Goods/Household Items,,,,,,,
14,Household Items,Finished Goods/Household Items,7,Finished Goods/Household Items,,,,,,,
15,Wood and Forest Products,Wood and Forest Products,8,Wood and Forest Products,,,,,,,
16,"Machinery, Spare Parts, etc.","Vehicles, Machinery, Spare Parts, etc.",9,"Vehicles, Machinery, Spare Parts, etc.",,,,,,,
17,Automobiles (Vehicles),"Vehicles, Machinery, Spare Parts, etc.",9,"Vehicles, Machinery, Spare Parts, etc.",,,,,,,
18,Electrical and Electronic Items,Electrical and Electronic Items,10,Electrical and Electronic Items,,,,,,,
19,"Minerals  (Iron Ore, Bauxite, Gypsum, Limestone, Silica, etc.)","Minerals, Chemicals, and Fertilizers",11,"Minerals, Chemicals, and Fertilizers",,,,,,,
20,Chemicals ,"Minerals, Chemicals, and Fertilizers",11,"Minerals, Chemicals, and Fertilizers",,,,,,,
21,Fertilizers,"Minerals, Chemicals, and Fertilizers",11,"Minerals, Chemicals, and Fertilizers",,,,,,,
22,Coal,Coal,12,Coal,,,,,,,
23,Medicines,Medicines,13,Medicines,,,,,,,
24,Clothes,Clothes,14,Clothes,,,,,,,
25,Cattle and Livestock,Cattle and Livestock,15,Cattle and Livestock,,,,,,,
26,"Miscellaneous (Parcels, Couriers, etc.)","Miscellaneous (Parcels, Couriers, etc.)",16,"Miscellaneous (Parcels, Couriers, etc.)",,,,,,,
27,Containers,"Miscellaneous (Parcels, Couriers, etc.)",16,"Miscellaneous (Parcels, Couriers, etc.)",,,,,,,
28,Empty,Empty,17,Empty,,,,,,,
29,Powder (miscelleneous),Powder (miscelleneous),18,Powder (miscelleneous),,,,,,,
30,Flyash,Flyash,19,Flyash,,,,,,,
